Dose in ,Sclera:1_17.stl, 3.16384, nanoGy
Dose in ,Sclera:1_15.stl, 5.9699, nanoGy
Dose in ,Choroidea:1_2.stl, 0, picoGy
Dose in ,Choroidea:1_3.stl, 0, picoGy
Dose in ,Sclera:1_14.stl, 10.961, nanoGy
Dose in ,Parafovea:1_2.stl, 0, picoGy
Dose in ,Sclera:1_10.stl, 785.844, picoGy
Dose in ,Choroidea:1_7.stl, 0, picoGy
Dose in ,Choroidea:1_6.stl, 1.70317, nanoGy
Dose in ,Sclera:1_11.stl, 0, picoGy
Dose in ,Parafovea:1_3.stl, 0, picoGy
Dose in ,Parafovea:1_1.stl, 0, picoGy
Dose in ,Sclera:1_13.stl, 0, picoGy
Dose in ,Choroidea:1_4.stl, 1.76461, nanoGy
Dose in ,Choroidea:1_5.stl, 1.96791, nanoGy
Dose in ,Sclera:1_12.stl, 0, picoGy
Dose in ,Parafovea:1_0.stl, 0, picoGy
